Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution
2013-08-24 08:39:00,Human,Hunter,Female,Saldaea,18,12,13,15,17
2013-08-24 08:31:16,Human,Hunter,Female,Saldaea,16,13,12,15,16
2013-08-24 08:29:05,Human,Hunter,Female,Saldaea,15,12,12,18,14
2013-08-24 08:25:03,Human,Hunter,Female,Saldaea,16,13,14,17,15
2013-08-24 08:22:32,Human,Hunter,Female,Saldaea,16,13,12,16,15
2013-08-24 08:20:18,Human,Hunter,Female,Saldaea,19,13,11,15,17
2013-08-24 08:13:14,Human,Hunter,Female,Saldaea,14,12,14,17,16
2013-08-24 08:10:41,Human,Hunter,Female,Saldaea,18,12,12,16,15
2013-08-24 08:04:47,Human,Hunter,Female,Saldaea,19,15,12,15,15
2013-08-24 08:02:55,Human,Hunter,Female,Saldaea,18,12,12,15,16
2013-08-24 07:57:28,Human,Hunter,Female,Saldaea,16,15,11,15,17
2013-08-24 07:55:19,Human,Hunter,Female,Saldaea,16,9,12,16,17
2013-08-24 07:53:15,Human,Hunter,Female,Saldaea,15,12,12,16,15
2013-08-24 07:48:41,Human,Hunter,Female,Saldaea,15,15,11,17,15
2013-08-24 07:46:07,Human,Hunter,Female,Saldaea,18,10,15,13,16
2013-08-24 07:44:00,Human,Hunter,Female,Saldaea,14,13,12,15,17
2013-08-24 07:40:04,Human,Hunter,Female,Saldaea,16,12,12,18,17
2013-08-24 07:37:29,Human,Hunter,Female,Saldaea,18,14,15,15,18
2013-08-24 07:35:18,Human,Hunter,Female,Saldaea,18,11,12,15,15
2013-08-24 07:29:50,Human,Hunter,Female,Saldaea,16,15,12,15,14
2013-08-24 07:27:30,Human,Hunter,Female,Saldaea,15,14,12,13,16
2013-08-24 07:23:51,Human,Hunter,Female,Saldaea,17,14,12,15,17
2013-08-24 07:20:56,Human,Hunter,Female,Saldaea,16,12,12,17,14
2013-08-24 07:18:50,Human,Hunter,Female,Saldaea,16,12,12,15,15
2013-08-24 07:16:49,Human,Hunter,Female,Saldaea,16,12,11,17,14
2013-08-24 07:11:22,Human,Hunter,Female,Saldaea,15,14,12,17,14
2013-08-24 07:09:26,Human,Hunter,Female,Saldaea,18,9,12,16,16
2013-08-24 07:03:49,Human,Hunter,Female,Saldaea,19,12,11,16,15
2013-08-24 07:00:58,Human,Hunter,Female,Saldaea,16,12,13,14,15
2013-08-24 06:59:08,Human,Hunter,Female,Saldaea,17,14,10,15,15
2013-08-24 06:55:04,Human,Hunter,Female,Saldaea,19,12,10,18,16
2013-08-24 06:52:31,Human,Hunter,Female,Saldaea,15,15,12,15,13
2013-08-24 06:50:11,Human,Hunter,Female,Saldaea,17,14,12,16,11
2013-08-24 06:46:00,Human,Hunter,Female,Saldaea,14,14,15,13,15
2013-08-24 06:43:34,Human,Hunter,Female,Saldaea,15,12,14,16,15
2013-08-24 06:41:36,Human,Hunter,Female,Saldaea,17,13,15,13,15
2013-08-24 06:37:49,Human,Hunter,Female,Saldaea,19,12,12,13,16
2013-08-24 06:34:55,Human,Hunter,Female,Saldaea,17,11,12,15,16
2013-08-24 06:30:04,Human,Hunter,Female,Saldaea,16,12,12,15,15
2013-08-24 06:25:21,Human,Hunter,Female,Saldaea,16,13,12,15,18
2013-08-24 06:23:19,Human,Hunter,Female,Saldaea,16,13,11,15,17
2013-08-24 06:21:39,Human,Hunter,Female,Saldaea,18,11,14,17,12
2013-08-24 06:17:59,Human,Hunter,Female,Saldaea,16,14,12,16,17
2013-08-24 06:15:32,Human,Hunter,Female,Saldaea,14,14,12,17,16
2013-08-24 06:12:55,Human,Hunter,Female,Saldaea,17,10,13,15,15
2013-08-24 06:07:57,Human,Hunter,Female,Saldaea,14,10,14,15,17
2013-08-24 06:05:38,Human,Hunter,Female,Saldaea,16,12,10,17,16
2013-08-24 06:01:53,Human,Hunter,Female,Saldaea,18,12,14,17,12
2013-08-24 05:59:21,Human,Hunter,Female,Saldaea,17,14,11,13,15
2013-08-24 05:57:04,Human,Hunter,Female,Saldaea,16,13,12,16,15
2013-08-24 05:52:10,Human,Hunter,Female,Saldaea,16,12,12,16,17
2013-08-24 05:49:30,Human,Hunter,Female,Saldaea,16,15,11,15,16
2013-08-24 05:47:05,Human,Hunter,Female,Saldaea,14,12,12,17,17
2013-08-24 05:45:13,Human,Hunter,Female,Saldaea,18,12,12,15,16
2013-08-24 05:42:31,Human,Hunter,Female,Saldaea,17,14,13,15,13
2013-08-24 05:40:08,Human,Hunter,Female,Saldaea,19,15,11,17,15
2013-08-24 05:38:03,Human,Hunter,Female,Saldaea,19,14,12,15,15
2013-08-24 05:34:16,Human,Hunter,Female,Saldaea,18,15,14,17,11
2013-08-24 05:31:30,Human,Hunter,Female,Saldaea,16,14,10,15,15
2013-08-24 05:29:26,Human,Hunter,Female,Saldaea,17,10,12,18,15
2013-08-24 05:24:01,Human,Hunter,Female,Saldaea,16,12,14,15,13
2013-08-24 05:21:46,Human,Hunter,Female,Saldaea,16,14,12,15,17
2013-08-24 05:19:45,Human,Hunter,Female,Saldaea,17,16,12,15,15
2013-08-24 05:15:26,Human,Hunter,Female,Saldaea,18,15,10,15,14
2013-08-24 05:12:48,Human,Hunter,Female,Saldaea,14,14,12,15,15
2013-08-24 05:11:03,Human,Hunter,Female,Saldaea,16,12,12,15,16
2013-08-24 05:07:14,Human,Hunter,Female,Saldaea,19,12,13,17,15
2013-08-24 05:04:41,Human,Hunter,Female,Saldaea,13,13,15,15,14
2013-08-24 05:02:34,Human,Hunter,Female,Saldaea,16,15,13,15,17
2013-08-24 04:57:06,Human,Hunter,Female,Saldaea,17,12,12,15,17
2013-08-24 04:54:41,Human,Hunter,Female,Saldaea,16,14,12,15,16
2013-08-24 04:52:26,Human,Hunter,Female,Saldaea,17,14,9,12,18
2013-08-24 04:48:14,Human,Hunter,Female,Saldaea,17,12,13,15,18
2013-08-24 04:45:23,Human,Hunter,Female,Saldaea,18,14,11,15,15
2013-08-24 04:43:12,Human,Hunter,Female,Saldaea,16,12,13,17,13
2013-08-24 04:39:29,Human,Hunter,Female,Saldaea,19,12,12,15,17
2013-08-24 04:37:03,Human,Hunter,Female,Saldaea,15,12,12,15,17
2013-08-24 04:34:49,Human,Hunter,Female,Saldaea,17,10,12,16,17
2013-08-24 04:27:26,Human,Hunter,Female,Saldaea,16,12,12,15,15
2013-08-24 04:25:03,Human,Hunter,Female,Saldaea,19,12,12,16,16
2013-08-24 04:21:19,Human,Hunter,Female,Saldaea,17,12,12,15,15
2013-08-24 04:18:48,Human,Hunter,Female,Saldaea,16,12,14,15,14
2013-08-24 04:16:21,Human,Hunter,Female,Saldaea,16,12,13,15,15
2013-08-24 04:10:47,Human,Hunter,Female,Saldaea,18,14,12,15,16
2013-08-24 04:08:33,Human,Hunter,Female,Saldaea,16,14,10,17,16
2013-08-24 04:06:31,Human,Hunter,Female,Saldaea,16,14,12,15,16
2013-08-24 04:02:20,Human,Hunter,Female,Saldaea,16,13,12,15,16
2013-08-24 03:59:48,Human,Hunter,Female,Saldaea,15,12,15,17,18
2013-08-24 03:57:46,Human,Hunter,Female,Saldaea,14,12,12,16,18
2013-08-24 03:52:17,Human,Hunter,Female,Saldaea,17,12,9,17,15
2013-08-24 03:49:53,Human,Hunter,Female,Saldaea,16,12,12,17,16
2013-08-24 03:47:47,Human,Hunter,Female,Saldaea,17,12,12,14,15
2013-08-24 03:45:01,Human,Hunter,Female,Saldaea,16,12,13,15,17
2013-08-24 03:42:35,Human,Hunter,Female,Saldaea,18,10,15,14,15
2013-08-24 03:34:55,Human,Hunter,Female,Saldaea,15,15,12,15,14
2013-08-24 03:32:12,Human,Hunter,Female,Saldaea,16,14,10,16,17
2013-08-24 03:24:28,Human,Hunter,Female,Saldaea,16,10,12,17,15
2013-08-24 03:16:37,Human,Hunter,Female,Saldaea,19,10,14,18,15
2013-08-24 03:13:33,Human,Hunter,Female,Saldaea,18,11,13,14,17
2013-08-24 03:05:30,Human,Hunter,Female,Saldaea,17,12,16,15,15
2013-08-24 03:03:30,Human,Hunter,Female,Saldaea,16,10,15,16,15
2013-08-24 02:59:32,Human,Hunter,Female,Saldaea,16,11,12,16,17
2013-08-24 02:56:58,Human,Hunter,Female,Saldaea,16,15,12,13,15
2013-08-24 02:55:05,Human,Hunter,Female,Saldaea,15,12,12,15,18
2013-08-24 02:50:28,Human,Hunter,Female,Saldaea,16,14,10,13,18
2013-08-24 02:47:22,Human,Hunter,Female,Saldaea,19,12,13,15,19
2013-08-24 02:45:22,Human,Hunter,Female,Saldaea,17,12,12,15,16
2013-08-24 02:40:49,Human,Hunter,Female,Saldaea,15,14,14,15,15
2013-08-24 02:38:18,Human,Hunter,Female,Saldaea,16,14,14,15,12
2013-08-24 02:36:14,Human,Hunter,Female,Saldaea,16,16,12,16,13
2013-08-24 02:32:07,Human,Hunter,Female,Saldaea,16,16,14,15,15
2013-08-24 02:29:04,Human,Hunter,Female,Saldaea,16,12,12,13,17
2013-08-24 02:26:48,Human,Hunter,Female,Saldaea,16,12,11,15,18
2013-08-24 02:22:50,Human,Hunter,Female,Saldaea,16,11,12,16,16
2013-08-24 02:20:03,Human,Hunter,Female,Saldaea,18,12,12,15,15
2013-08-24 02:17:44,Human,Hunter,Female,Saldaea,18,14,11,15,13
2013-08-24 02:12:08,Human,Hunter,Female,Saldaea,17,11,13,15,15
2013-08-24 02:09:06,Human,Hunter,Female,Saldaea,18,11,15,15,16
2013-08-24 02:03:12,Human,Hunter,Female,Saldaea,16,15,15,17,15
2013-08-24 02:00:41,Human,Hunter,Female,Saldaea,16,14,11,15,14
2013-08-24 01:54:42,Human,Hunter,Female,Saldaea,19,14,10,19,15
2013-08-24 01:51:58,Human,Hunter,Female,Saldaea,16,13,14,17,16
2013-08-24 01:44:35,Human,Hunter,Female,Saldaea,16,12,12,17,13
2013-08-24 01:41:54,Human,Hunter,Female,Saldaea,18,13,10,13,18
2013-08-24 01:34:21,Human,Hunter,Female,Saldaea,16,14,13,15,13
2013-08-24 01:32:18,Human,Hunter,Female,Saldaea,16,13,10,18,16
2013-08-24 01:24:21,Human,Hunter,Female,Saldaea,16,14,12,15,16
2013-08-24 01:18:30,Human,Hunter,Female,Saldaea,14,13,12,15,17
2013-08-24 01:15:53,Human,Hunter,Female,Saldaea,19,12,15,12,16
2013-08-24 01:14:08,Human,Hunter,Female,Saldaea,16,12,12,15,15
2013-08-24 01:08:34,Human,Hunter,Female,Saldaea,18,13,14,13,15
2013-08-24 01:06:02,Human,Hunter,Female,Saldaea,17,12,12,17,15
2013-08-24 01:04:05,Human,Hunter,Female,Saldaea,14,14,13,15,17
2013-08-24 00:59:59,Human,Hunter,Female,Saldaea,16,16,12,12,14
2013-08-24 00:57:25,Human,Hunter,Female,Saldaea,19,12,10,16,13
2013-08-24 00:55:09,Human,Hunter,Female,Saldaea,16,10,12,15,17
2013-08-24 00:49:22,Human,Hunter,Female,Saldaea,18,15,12,13,16
