Submitted,Faction,Class,Sex,Homeland,Strength,Intelligence,Willpower,Dexterity,Constitution
2013-09-19 18:02:58,Human,Channeler,Female,Murandy,12,17,19,16,13
2013-09-19 18:02:58,Human,Channeler,Female,Murandy,15,14,14,15,13
2013-09-19 18:02:57,Human,Channeler,Female,Murandy,15,14,14,16,13
2013-09-19 18:02:56,Human,Channeler,Female,Murandy,12,18,19,14,10
2013-09-19 18:02:56,Human,Channeler,Female,Murandy,11,14,19,14,14
2013-09-19 18:02:56,Human,Channeler,Female,Murandy,14,14,15,14,14
2013-09-19 18:02:55,Human,Channeler,Female,Murandy,11,14,19,14,12
2013-09-19 18:02:55,Human,Channeler,Female,Murandy,15,16,15,14,12
2013-09-19 18:02:54,Human,Channeler,Female,Murandy,13,16,19,17,10
2013-09-19 18:02:54,Human,Channeler,Female,Murandy,14,17,17,13,11
2013-09-19 18:02:53,Human,Channeler,Female,Murandy,12,14,18,17,10
2013-09-19 18:02:52,Human,Channeler,Female,Murandy,12,14,14,17,14
2013-09-19 18:02:52,Human,Channeler,Female,Murandy,16,17,15,14,10
2013-09-19 18:02:51,Human,Channeler,Female,Murandy,11,16,19,16,10
2013-09-19 18:02:50,Human,Channeler,Female,Murandy,15,15,16,15,10
2013-09-19 18:02:50,Human,Channeler,Female,Murandy,15,15,15,14,14
2013-09-19 18:02:49,Human,Channeler,Female,Murandy,15,14,16,18,12
2013-09-19 18:02:49,Human,Channeler,Female,Murandy,12,18,19,18,9
2013-09-19 18:02:48,Human,Channeler,Female,Murandy,16,18,16,13,13
2013-09-19 18:02:48,Human,Channeler,Female,Murandy,12,17,18,13,14
2013-09-19 18:02:48,Human,Channeler,Female,Murandy,16,17,15,13,10
2013-09-19 18:02:47,Human,Channeler,Female,Murandy,15,14,14,17,10
2013-09-19 18:02:47,Human,Channeler,Female,Murandy,15,15,15,16,14
2013-09-19 18:02:46,Human,Channeler,Female,Murandy,12,17,14,17,12
2013-09-19 18:02:46,Human,Channeler,Female,Murandy,15,15,18,14,12
2013-09-19 18:02:46,Human,Channeler,Female,Murandy,12,14,19,14,13
2013-09-19 18:02:45,Human,Channeler,Female,Murandy,13,18,16,14,9
2013-09-19 18:02:45,Human,Channeler,Female,Murandy,16,16,19,16,11
2013-09-19 18:02:44,Human,Channeler,Female,Murandy,15,14,17,14,12
2013-09-19 18:02:44,Human,Channeler,Female,Murandy,12,18,15,13,12
2013-09-19 18:02:42,Human,Channeler,Female,Murandy,16,15,15,18,13
2013-09-19 18:02:42,Human,Channeler,Female,Murandy,16,14,18,13,10
2013-09-19 18:02:41,Human,Channeler,Female,Murandy,12,14,15,15,14
2013-09-19 18:02:40,Human,Channeler,Female,Murandy,11,17,17,16,12
2013-09-19 18:02:40,Human,Channeler,Female,Murandy,15,18,15,17,12
2013-09-19 18:02:38,Human,Channeler,Female,Murandy,16,14,15,18,13
2013-09-19 18:02:38,Human,Channeler,Female,Murandy,13,16,15,17,12
2013-09-19 18:02:37,Human,Channeler,Female,Murandy,12,16,15,17,14
2013-09-19 18:02:37,Human,Channeler,Female,Murandy,12,16,18,17,13
2013-09-19 18:02:36,Human,Channeler,Female,Murandy,13,18,17,18,10
2013-09-19 18:02:36,Human,Channeler,Female,Murandy,14,18,18,14,10
2013-09-19 18:02:35,Human,Channeler,Female,Murandy,15,18,15,17,10
2013-09-19 18:02:33,Human,Channeler,Female,Murandy,12,14,15,17,14
2013-09-19 18:02:33,Human,Channeler,Female,Murandy,14,16,15,14,12
2013-09-19 18:02:32,Human,Channeler,Female,Murandy,12,14,19,17,10
2013-09-19 18:02:32,Human,Channeler,Female,Murandy,11,17,15,18,12
2013-09-19 18:02:31,Human,Channeler,Female,Murandy,12,17,15,18,11
2013-09-19 18:02:31,Human,Channeler,Female,Murandy,12,18,15,16,12
2013-09-19 18:02:30,Human,Channeler,Female,Murandy,16,14,15,16,13
2013-09-19 18:02:29,Human,Channeler,Female,Murandy,16,14,15,14,11
2013-09-19 18:02:29,Human,Channeler,Female,Murandy,13,14,19,13,11
2013-09-19 18:02:28,Human,Channeler,Female,Murandy,14,15,14,17,10
2013-09-19 18:02:28,Human,Channeler,Female,Murandy,16,15,15,14,13
2013-09-19 18:02:27,Human,Channeler,Female,Murandy,13,14,19,13,12
2013-09-19 18:02:26,Human,Channeler,Female,Murandy,14,14,15,18,10
2013-09-19 18:02:26,Human,Channeler,Female,Murandy,12,17,15,17,10
2013-09-19 18:02:25,Human,Channeler,Female,Murandy,16,15,14,17,12
2013-09-19 18:02:25,Human,Channeler,Female,Murandy,16,18,17,18,12
2013-09-19 18:02:24,Human,Channeler,Female,Murandy,12,16,19,17,10
2013-09-19 18:02:24,Human,Channeler,Female,Murandy,12,14,18,16,12
2013-09-19 18:02:23,Human,Channeler,Female,Murandy,12,14,17,18,13
2013-09-19 18:02:23,Human,Channeler,Female,Murandy,15,15,16,14,11
2013-09-19 18:02:22,Human,Channeler,Female,Murandy,12,16,15,18,13
2013-09-19 18:02:22,Human,Channeler,Female,Murandy,16,13,16,14,12
2013-09-19 18:02:21,Human,Channeler,Female,Murandy,12,18,15,15,10
2013-09-19 18:02:21,Human,Channeler,Female,Murandy,13,14,15,18,12
